Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Interest on cash,2023-09-19 21:08:24.575,,,,,,,,,0.01,"EUR",,,"Interest on cash",48f185ec-a37b-4686-aecc-221fd115ba13,,
Interest on cash,2023-09-24 21:09:07.317,,,,,,,,,0.01,"EUR",,,"Interest on cash",d5940939-89f9-47f4-93f9-1cc08bee18f7,,
Interest on cash,2023-09-29 21:12:24.462,,,,,,,,,0.01,"EUR",,,"Interest on cash",bb43e1d0-7704-409f-8e6b-f60bba504fbd,,
Interest on cash,2023-10-05 21:08:34.366,,,,,,,,,0.01,"EUR",,,"Interest on cash",a49343f1-2341-4698-848c-b1f1e07c9664,,
Interest on cash,2023-10-10 21:08:54.106,,,,,,,,,0.01,"EUR",,,"Interest on cash",c3210143-5908-4065-9496-f874e7bacbb6,,
Dividend (Dividends paid by us corporations),2023-10-13 13:46:54,US7561091049,O,"Realty Income",4.0000000000,0.22,USD,Not available,,0.83,"EUR",0.15,USD,,,,
Interest on cash,2023-10-15 21:09:12.867,,,,,,,,,0.01,"EUR",,,"Interest on cash",86026ddb-47cc-466b-9f2f-839642f9fc78,,
Interest on cash,2023-10-20 21:08:46.477,,,,,,,,,0.01,"EUR",,,"Interest on cash",4a0e7c8f-5e0d-41b0-8198-22c6bcc0df80,,
Interest on cash,2023-10-25 21:09:49.268,,,,,,,,,0.01,"EUR",,,"Interest on cash",cd733ac7-0a28-4feb-8aba-e7f23fbecc5b,,
Interest on cash,2023-10-31 22:09:10.232,,,,,,,,,0.01,"EUR",,,"Interest on cash",99d0fc9f-82e2-4d2d-afdc-1ef00520de3b,,
Interest on cash,2023-11-05 22:09:38.037,,,,,,,,,0.01,"EUR",,,"Interest on cash",896e56a5-ffde-466e-bbcd-4a3ab5367fb1,,
Interest on cash,2023-11-10 22:09:46.972,,,,,,,,,0.01,"EUR",,,"Interest on cash",44d46d00-dbfa-4f46-856d-a783ea911fe2,,
Dividend (Dividend),2023-11-15 13:45:12,US7561091049,O,"Realty Income",4.0000000000,0.22,USD,Not available,,0.80,"EUR",0.15,USD,,,,
Interest on cash,2023-11-15 22:09:10.131,,,,,,,,,0.01,"EUR",,,"Interest on cash",8af8e066-6708-40cb-a4d3-3e5ff9d25c00,,
Interest on cash,2023-11-20 22:09:10.663,,,,,,,,,0.01,"EUR",,,"Interest on cash",b9e83915-a0d1-45c8-90db-f2fbc6ee45b7,,
Interest on cash,2023-11-25 22:09:59.922,,,,,,,,,0.01,"EUR",,,"Interest on cash",a3a33b3c-b46e-42fe-8d5d-12bf5934e90a,,
Interest on cash,2023-11-30 22:09:28.791,,,,,,,,,0.01,"EUR",,,"Interest on cash",414794b9-15fe-41d2-8662-5d0d7988cc8a,,
Interest on cash,2023-12-05 22:09:18.407,,,,,,,,,0.01,"EUR",,,"Interest on cash",04326fc0-0a2d-4519-bd45-738c9a4d858e,,
Deposit,2023-12-07 14:19:13.352,,,,,,,,,200.00,"EUR",,,"Transaction ID: WSL9Z7THS4K4J4C2",de021aa6-a8ec-46f9-acef-07c2dd58ac46,,
Market buy,2023-12-07 14:30:05.247,US7561091049,O,"Realty Income",0.0193640000,54.64,USD,1.07964,"EUR",0.98,"EUR",,,,EOF7052748840,,
Market buy,2023-12-07 14:30:08.428,US7561091049,O,"Realty Income",3.9806360000,54.71,USD,1.07801,"EUR",202.32,"EUR",,,,EOF7101351023,0.30,"EUR"
Interest on cash,2023-12-10 22:09:18.081,,,,,,,,,0.01,"EUR",,,"Interest on cash",c96108ee-32a3-4bd6-8678-2ba3a67a28b6,,
Dividend (Dividend),2023-12-15 14:47:30,US9024941034,TSN,"Tyson Foods",4.0000000000,0.42,USD,Not available,,1.52,"EUR",0.29,USD,,,,
Dividend (Dividend),2023-12-15 15:12:34,US7561091049,O,"Realty Income",4.0000000000,0.22,USD,Not available,,0.79,"EUR",0.15,USD,,,,
Interest on cash,2023-12-15 22:11:29.301,,,,,,,,,0.01,"EUR",,,"Interest on cash",db293ab0-4276-45cc-a049-66ae9d2bf59f,,
